add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
subtract,50,10
multiply,40,30
divide,100,5
add,10,20
